Cascade (Stage 1 × Stage 2),Sensitivity (95% CI),Specificity (95% CI),PPV,F1,MCC,"FN per 1,000"
CQL reward-opt × LogReg+TF-IDF,0.915 (0.863–0.949),0.167 (0.151–0.185),0.090,0.164,0.062,7.0
ActionHead × LogReg+TF-IDF,0.418 (0.346–0.494),0.809 (0.791–0.827),0.165,0.236,0.154,48.0
Claude Opus 4.7 × CQL reward-opt,0.297 (0.233–0.371),0.874 (0.858–0.888),0.174,0.220,0.135,58.0
Claude Opus 4.7 × LogReg+TF-IDF,0.291 (0.227–0.364),0.875 (0.859–0.889),0.173,0.217,0.132,58.5
ActionHead × XGBoost+SBERT,0.255 (0.194–0.326),0.888 (0.873–0.901),0.169,0.203,0.119,61.5
claude_opus_4_7_rag × LogReg+TF-IDF,0.218 (0.162–0.287),0.921 (0.908–0.933),0.200,0.209,0.134,64.5
claude_opus_4_7_rag × Claude Opus 4.7,0.188 (0.136–0.254),0.940 (0.928–0.950),0.218,0.202,0.137,67.0
ActionHead × Claude Opus 4.7,0.176 (0.125–0.241),0.945 (0.934–0.955),0.223,0.197,0.135,68.0
ActionHead × claude_opus_4_7_rag,0.139 (0.095–0.201),0.964 (0.954–0.971),0.256,0.180,0.137,71.0
Constellation × XGBoost+SBERT,0.067 (0.038–0.115),0.982 (0.974–0.987),0.244,0.105,0.089,77.0
CQL reward-opt × Guardrails,0.061 (0.033–0.108),0.983 (0.976–0.988),0.244,0.097,0.085,77.5
Guardrails × XGBoost+SBERT,0.042 (0.021–0.085),0.992 (0.987–0.995),0.318,0.075,0.090,79.0
CQL sens-opt × XGBoost+SBERT,0.024 (0.009–0.061),0.998 (0.994–0.999),0.500,0.046,0.096,80.5
Gemini 3.1 Pro × XGBoost+SBERT,0.018 (0.006–0.052),0.999 (0.996–1.000),0.600,0.035,0.094,81.0
Constellation × Guardrails,0.012 (0.003–0.043),1.000 (0.997–1.000),0.667,0.024,0.082,81.5
Constellation × Gemini 3.1 Pro,0.012 (0.003–0.043),1.000 (0.997–1.000),0.667,0.024,0.082,81.5
CQL sens-opt × Gemini 3.1 Pro,0.006 (0.001–0.034),1.000 (0.998–1.000),1.000,0.012,0.075,82.0
CQL sens-opt × Guardrails,0.006 (0.001–0.034),1.000 (0.998–1.000),1.000,0.012,0.075,82.0
